Geographic Area Name,Total housing units,Occupied housing units,Rental vacancy rate,Total housing units,Owner-occupied,Median (dollars),Median (dollars),2023
"Hennepin County, Minnesota",579766,545627,6.9,579766,337658,386600,1445,2023
"Olmsted County, Minnesota",72242,66425,8.2,72242,47219,335000,1401,2023
"Ramsey County, Minnesota",236273,225183,4.5,236273,132958,319600,1367,2023
"Rice County, Minnesota",25446,23512,8.3,25446,17772,302100,1028,2023
"St. Louis County, Minnesota",104537,87576,4.3,104537,61966,236700,1004,2023
"Scott County, Minnesota",57710,55921,4.8,57710,46372,394700,1434,2023
"Sherburne County, Minnesota",37691,35909,5.0,37691,30368,366300,1105,2023
"Stearns County, Minnesota",67083,60666,8.0,67083,41741,288500,1129,2023
"Washington County, Minnesota",111824,109093,1.9,111824,90378,415100,1668,2023
"Wright County, Minnesota",58817,55367,3.0,58817,46933,355200,1272,2023
"DeSoto County, Mississippi",77066,70666,27.5,77066,58056,275400,1381,2023
"Forrest County, Mississippi",33914,30255,10.5,33914,18260,169400,1006,2023
"Harrison County, Mississippi",96431,86167,4.1,96431,53731,213900,1054,2023
"Hinds County, Mississippi",106439,88687,7.6,106439,52402,164200,992,2023
"Jackson County, Mississippi",64224,59347,10.7,64224,42064,198000,1021,2023
"Jones County, Mississippi",29012,25758,4.3,29012,19782,160000,749,2023
"Lamar County, Mississippi",27827,26301,5.7,27827,18016,232100,1041,2023
"Lauderdale County, Mississippi",33564,29693,4.1,33564,20145,145600,840,2023
"Lee County, Mississippi",37820,32115,8.3,37820,24203,196200,877,2023
"Madison County, Mississippi",48085,45674,0.5,48085,32918,341500,1288,2023
"Rankin County, Mississippi",64833,60434,4.3,64833,46964,240400,1184,2023
"Boone County, Missouri",82512,76762,6.5,82512,43623,272400,1100,2023
"Buchanan County, Missouri",38540,33257,4.4,38540,22794,166500,889,2023
"Cape Girardeau County, Missouri",36265,33624,2.9,36265,21952,223300,895,2023
"Cass County, Missouri",47234,44422,8.9,47234,35169,294400,1194,2023
"Christian County, Missouri",37311,35654,0.8,37311,27355,310800,1024,2023
"Clay County, Missouri",109025,103995,5.1,109025,72507,283200,1245,2023
"Cole County, Missouri",33666,31874,3.6,33666,22708,228700,754,2023
"Franklin County, Missouri",46933,44140,3.0,46933,31068,229900,895,2023
"Greene County, Missouri",140105,132232,3.0,140105,75295,231400,1000,2023
"Jackson County, Missouri",339241,310868,3.3,339241,188271,228100,1197,2023
"Jasper County, Missouri",55381,52000,1.8,55381,31344,177100,915,2023
"Jefferson County, Missouri",94758,88836,1.9,94758,75332,235100,882,2023
"Platte County, Missouri",47254,44751,5.1,47254,31545,356500,1287,2023
"St. Charles County, Missouri",169947,163272,9.5,169947,132948,325600,1420,2023
"St. Francois County, Missouri",28981,25489,0.8,28981,18098,181100,803,2023
"St. Louis County, Missouri",447038,419348,4.3,447038,295825,272400,1204,2023
"St. Louis city, Missouri",174806,150404,6.8,174806,72300,192800,1011,2023
"Cascade County, Montana",39901,36414,4.7,39901,24816,286500,959,2023
"Flathead County, Montana",52603,45510,4.1,52603,34015,570800,1275,2023
"Gallatin County, Montana",59966,54621,7.2,59966,32972,691200,1790,2023
"Lewis and Clark County, Montana",34251,30756,7.2,34251,21237,379500,1078,2023
"Missoula County, Montana",58308,55084,2.3,58308,33201,488300,1172,2023
"Yellowstone County, Montana",75508,72668,0.2,75508,48501,358700,999,2023
"Douglas County, Nebraska",254994,242890,4.3,254994,149090,274700,1178,2023
"Lancaster County, Nebraska",143103,138006,2.2,143103,79163,277700,1024,2023
"Sarpy County, Nebraska",78751,75546,3.6,78751,52917,322400,1385,2023
"Clark County, Nevada",963471,880604,6.6,963471,509177,437900,1654,2023
"Washoe County, Nevada",223813,201140,7.9,223813,126056,545100,1627,2023
"Belknap County, New Hampshire",39395,27150,0.0,39395,22790,411900,1037,2023
"Cheshire County, New Hampshire",36079,31921,3.6,36079,22727,328200,1259,2023
"Grafton County, New Hampshire",52424,40528,3.2,52424,28471,354800,1366,2023
"Hillsborough County, New Hampshire",178687,170761,4.1,178687,116377,430300,1668,2023
"Merrimack County, New Hampshire",66947,62305,6.3,66947,44381,372200,1398,2023
"Rockingham County, New Hampshire",139006,127021,6.8,139006,99265,518600,1664,2023
"Strafford County, New Hampshire",57012,53495,5.6,57012,35965,379800,1505,2023
"Atlantic County, New Jersey",132179,111158,2.9,132179,74940,303800,1307,2023
"Bergen County, New Jersey",370464,356438,2.5,370464,231063,615300,1870,2023
"Burlington County, New Jersey",186753,179477,2.4,186753,137492,358000,1671,2023
"Camden County, New Jersey",213947,201670,4.3,213947,134076,294900,1328,2023
"Cape May County, New Jersey",99491,47516,25.8,99491,39371,474800,1440,2023
"Cumberland County, New Jersey",57336,54482,2.6,57336,36090,220500,1196,2023
"Essex County, New Jersey",337500,322456,2.0,337500,146736,522800,1477,2023
"Gloucester County, New Jersey",118177,113391,3.8,118177,89768,317900,1582,2023
"Hudson County, New Jersey",325334,305743,3.2,325334,88102,531900,1816,2023
"Hunterdon County, New Jersey",52256,51186,4.5,52256,43834,506000,1573,2023
"Mercer County, New Jersey",151262,146258,1.8,151262,88183,390900,1466,2023
"Middlesex County, New Jersey",319111,311100,1.7,319111,196353,475200,1823,2023
"Monmouth County, New Jersey",271056,252995,3.0,271056,188381,628000,1752,2023
"Morris County, New Jersey",200038,193192,3.8,200038,144520,577700,1923,2023
"Ocean County, New Jersey",296757,245827,5.3,296757,197440,408000,1692,2023
"Passaic County, New Jersey",186178,178277,2.3,186178,97018,465700,1551,2023
"Salem County, New Jersey",27726,25207,7.4,27726,18245,249500,1318,2023
"Somerset County, New Jersey",134729,132047,2.7,134729,98372,556600,1970,2023
"Sussex County, New Jersey",62889,58679,2.8,62889,49903,367500,1397,2023
"Union County, New Jersey",213603,206095,2.5,213603,121379,522500,1744,2023
"Warren County, New Jersey",46866,45263,N,46866,34186,350500,1440,2023
"Bernalillo County, New Mexico",304522,285796,5.1,304522,185305,303400,1206,2023
"Doña Ana County, New Mexico",93944,87688,4.4,93944,58113,228000,933,2023
"Lea County, New Mexico",28647,24812,9.8,28647,17074,197200,1173,2023
"McKinley County, New Mexico",25443,21312,1.1,25443,13859,71000,768,2023
"Otero County, New Mexico",32901,25289,7.0,32901,17772,154200,965,2023
"Sandoval County, New Mexico",62015,58731,5.4,62015,47246,324100,1464,2023
"San Juan County, New Mexico",48435,42670,4.3,48435,30985,201700,965,2023
"Santa Fe County, New Mexico",79707,71322,3.9,79707,49098,485300,1254,2023
"Valencia County, New Mexico",31219,29932,5.8,31219,22835,232700,1021,2023
"Albany County, New York",148506,134971,2.8,148506,75449,291300,1313,2023
"Bronx County, New York",564905,537953,2.1,564905,107907,498200,1352,2023
"Broome County, New York",93455,80001,10.1,93455,52172,155100,935,2023
"Cattaraugus County, New York",40471,32376,10.2,40471,24242,105500,715,2023
"Cayuga County, New York",36962,32786,0.7,36962,25779,161700,925,2023
"Chautauqua County, New York",66454,54284,3.7,66454,38030,124600,797,2023
"Chemung County, New York",39373,35591,12.1,39373,25009,139600,1013,2023
"Clinton County, New York",37772,34639,0.8,37772,22345,173000,948,2023
"Dutchess County, New York",123576,115529,3.7,123576,79790,395400,1574,2023
"Erie County, New York",442461,410430,3.5,442461,268344,241900,1067,2023
"Jefferson County, New York",61993,50542,2.0,61993,26728,184200,1227,2023
"Kings County, New York",1110671,1035549,2.5,1110671,297305,880300,1762,2023
"Madison County, New York",30772,26755,4.3,30772,20520,180600,869,2023
"Monroe County, New York",340285,317369,6.3,340285,199548,217300,1163,2023
"Nassau County, New York",479796,458162,3.6,479796,371714,674200,2228,2023
"New York County, New York",928727,787747,3.9,928727,200348,1010800,2169,2023
"Niagara County, New York",100604,91894,4.8,100604,63732,189700,985,2023
"Oneida County, New York",105776,96767,4.4,105776,64262,188300,913,2023
"Onondaga County, New York",212317,198699,3.9,212317,130708,202400,1095,2023
"Ontario County, New York",53825,48610,6.1,53825,37124,228000,1210,2023
"Orange County, New York",151080,138856,4.4,151080,96251,391800,1642,2023
"Oswego County, New York",55054,48010,5.0,55054,37032,153500,957,2023
"Putnam County, New York",38564,36405,0.0,38564,29605,482300,1833,2023
"Queens County, New York",917300,863975,2.6,917300,385206,692500,1877,2023
"Rensselaer County, New York",74704,66583,5.9,74704,45548,257600,1242,2023
"Richmond County, New York",184959,169526,4.1,184959,112983,672400,1688,2023
"Rockland County, New York",109342,104325,3.4,109342,72504,600500,1868,2023
"St. Lawrence County, New York",52167,42945,4.3,52167,28653,130200,789,2023
"Saratoga County, New York",113278,103758,2.2,113278,72541,348800,1362,2023
"Schenectady County, New York",71510,68172,5.8,71510,43331,242700,1240,2023
"Steuben County, New York",47794,38764,7.9,47794,29096,137000,838,2023
"Suffolk County, New York",581867,508809,5.8,581867,413233,584800,2045,2023
"Sullivan County, New York",50492,30971,7.6,50492,21480,273800,1028,2023
"Tompkins County, New York",48199,43054,3.1,48199,23737,263100,1383,2023
"Ulster County, New York",86867,73895,8.3,86867,53482,373400,1363,2023
"Warren County, New York",40584,31013,12.8,40584,21613,265300,1051,2023
"Wayne County, New York",42604,39094,0.6,42604,31421,173600,996,2023
"Westchester County, New York",397475,374012,1.9,397475,231979,645700,1873,2023
"Alamance County, North Carolina",78406,70911,8.2,78406,46822,265200,1033,2023
"Brunswick County, North Carolina",102934,72932,33.9,102934,61124,360100,1373,2023
"Buncombe County, North Carolina",137126,104181,16.5,137126,68718,426000,1368,2023
"Burke County, North Carolina",40857,37485,1.4,40857,27442,212500,786,2023
"Cabarrus County, North Carolina",95944,90254,2.3,95944,60496,374400,1484,2023
"Caldwell County, North Carolina",37643,34367,2.0,37643,23886,205400,764,2023
"Carteret County, North Carolina",52843,34497,0.3,52843,25637,343000,1144,2023
"Catawba County, North Carolina",74402,68126,8.1,74402,49779,257100,947,2023
"Chatham County, North Carolina",36867,33971,0.0,36867,28307,442800,1100,2023
"Cleveland County, North Carolina",44565,39314,3.4,44565,28993,228300,880,2023
"Craven County, North Carolina",48300,41100,3.0,48300,28487,229500,1039,2023
"Cumberland County, North Carolina",144638,131421,8.1,144638,74311,214600,1228,2023
"Davidson County, North Carolina",77350,71400,1.8,77350,52081,232100,836,2023
"Durham County, North Carolina",156874,143466,6.8,156874,79227,419200,1587,2023
"Forsyth County, North Carolina",177815,166028,5.8,177815,104244,267800,1104,2023
"Franklin County, North Carolina",32924,31057,2.2,32924,24393,290600,1065,2023
"Gaston County, North Carolina",103202,97287,1.8,103202,61918,284400,1221,2023
"Guilford County, North Carolina",240354,222927,5.7,240354,134222,270000,1165,2023
"Harnett County, North Carolina",55851,49285,9.1,55851,37520,285300,1095,2023
"Henderson County, North Carolina",58917,52492,5.2,58917,39388,372000,1186,2023
"Iredell County, North Carolina",85983,77592,1.6,85983,55223,356100,1238,2023
"Johnston County, North Carolina",94408,87955,6.3,94408,65632,324500,1307,2023
"Lee County, North Carolina",27376,25961,N,27376,17068,241200,864,2023
"Lincoln County, North Carolina",40570,37618,0.8,40570,29999,350700,1082,2023
"Mecklenburg County, North Carolina",513772,474611,7.5,513772,259194,441900,1660,2023
"Moore County, North Carolina",51224,46385,2.4,51224,35044,369100,1342,2023
"Nash County, North Carolina",44127,39349,5.0,44127,23465,210800,937,2023
"New Hanover County, North Carolina",123263,106358,5.5,123263,64594,394100,1466,2023
"Onslow County, North Carolina",88820,76788,7.0,88820,47511,253100,1261,2023
"Orange County, North Carolina",63575,59771,4.0,63575,38265,470300,1425,2023
"Pender County, North Carolina",32796,27256,5.4,32796,22733,315700,1070,2023
"Pitt County, North Carolina",83544,74443,5.6,83544,39438,224100,1042,2023
"Randolph County, North Carolina",63303,59646,0.0,63303,41938,215200,964,2023
"Robeson County, North Carolina",49308,43590,6.6,49308,28486,87100,786,2023
"Rockingham County, North Carolina",44060,39251,0.0,44060,29120,174900,790,2023
"Rowan County, North Carolina",65871,60965,4.7,65871,44945,273700,974,2023
"Rutherford County, North Carolina",32967,26805,13.8,32967,19705,207900,794,2023
"Stanly County, North Carolina",29101,25371,10.1,29101,19514,235800,856,2023
"Surry County, North Carolina",33908,30752,2.1,33908,22840,181800,697,2023
"Union County, North Carolina",91321,87714,5.2,91321,71163,446600,1559,2023
"Wake County, North Carolina",512256,481294,7.4,512256,307341,482100,1652,2023
"Wayne County, North Carolina",53912,47035,0.9,53912,28142,181800,931,2023
"Wilkes County, North Carolina",31949,26154,0.0,31949,19141,182600,655,2023
"Wilson County, North Carolina",37527,34524,5.4,37527,20468,212200,1005,2023
"Burleigh County, North Dakota",44387,42486,1.4,44387,30405,309500,926,2023
"Cass County, North Dakota",90897,84603,8.0,90897,44294,293700,968,2023
"Grand Forks County, North Dakota",34066,32099,5.2,34066,17566,257400,949,2023
"Ward County, North Dakota",32638,28565,6.6,32638,17307,251800,1010,2023
"Allen County, Ohio",44922,42147,1.1,44922,28655,179800,941,2023
"Ashtabula County, Ohio",46596,37507,13.0,46596,29005,161600,721,2023
"Belmont County, Ohio",31511,27281,12.7,31511,20105,151500,743,2023
"Butler County, Ohio",156320,148804,3.8,156320,100449,275100,1139,2023
"Clark County, Ohio",61238,55322,2.5,61238,37864,173800,785,2023
"Clermont County, Ohio",89377,87429,4.7,89377,65500,279700,1076,2023
"Columbiana County, Ohio",46188,42415,2.9,46188,31768,163700,756,2023
"Cuyahoga County, Ohio",615233,551306,7.8,615233,338490,197900,1053,2023
"Delaware County, Ohio",88208,84413,3.8,88208,65786,460600,1494,2023
"Erie County, Ohio",38709,33608,2.3,38709,23401,197000,895,2023
"Fairfield County, Ohio",64767,62834,6.0,64767,46876,314800,1146,2023
"Franklin County, Ohio",601843,561634,3.0,601843,286812,301000,1287,2023
"Geauga County, Ohio",37854,36405,N,37854,32234,318800,904,2023
"Greene County, Ohio",72929,70169,2.1,72929,47526,265500,1204,2023
"Hamilton County, Ohio",382471,360340,2.9,382471,209225,250500,1053,2023
"Hancock County, Ohio",34097,31675,7.8,34097,22668,208500,989,2023
"Lake County, Ohio",106863,103532,2.8,106863,77714,217600,1085,2023
"Licking County, Ohio",73550,68568,5.8,73550,50528,277400,1048,2023
"Lorain County, Ohio",137570,128887,8.4,137570,97331,223800,930,2023
"Lucas County, Ohio",201324,182625,7.3,201324,111495,168400,934,2023
"Mahoning County, Ohio",108000,98872,7.4,108000,67982,154300,813,2023
"Marion County, Ohio",27348,24957,3.0,27348,17471,153800,814,2023
"Medina County, Ohio",76698,73675,4.1,76698,58948,284800,1128,2023
"Miami County, Ohio",47539,44756,6.4,47539,31241,255500,884,2023
"Montgomery County, Ohio",253721,235734,4.0,253721,144280,184100,1014,2023
"Muskingum County, Ohio",38333,32776,12.3,38333,22893,184900,840,2023
"Portage County, Ohio",71677,65601,3.8,71677,45570,229800,1085,2023
"Richland County, Ohio",54791,51046,6.8,54791,35850,176800,808,2023
"Ross County, Ohio",32077,28870,0.0,32077,19949,177200,865,2023
"Scioto County, Ohio",33070,30143,1.5,33070,20306,163400,805,2023
"Stark County, Ohio",168561,156143,1.4,168561,108778,188500,891,2023
"Summit County, Ohio",249465,232592,1.5,249465,157633,210500,1007,2023
"Trumbull County, Ohio",94443,87955,4.9,94443,62483,142900,761,2023
"Tuscarawas County, Ohio",40893,39110,0.0,40893,26838,185500,850,2023
"Union County, Ohio",26135,25554,N,26135,19864,358900,1247,2023
"Warren County, Ohio",97299,93271,12.5,97299,74339,364700,1453,2023
"Wayne County, Ohio",47136,44453,5.6,47136,33981,218900,886,2023
"Wood County, Ohio",57882,54408,5.3,57882,35144,229400,929,2023
"Canadian County, Oklahoma",62759,58214,10.1,62759,42184,260400,1329,2023
"Cleveland County, Oklahoma",125778,118062,4.4,125778,72244,245700,1149,2023
"Comanche County, Oklahoma",52712,45945,6.2,52712,26296,160900,991,2023
"Creek County, Oklahoma",31883,28988,3.5,31883,20986,189400,882,2023
"Muskogee County, Oklahoma",29404,26362,4.1,29404,17370,157300,800,2023
"Oklahoma County, Oklahoma",364417,335473,6.4,364417,193167,242700,1143,2023
"Payne County, Oklahoma",37253,32739,10.6,37253,17561,227300,953,2023
"Pottawatomie County, Oklahoma",30413,27150,3.9,30413,18198,175000,832,2023
"Rogers County, Oklahoma",40087,37082,3.3,40087,28998,247500,1053,2023
"Tulsa County, Oklahoma",300575,275702,4.2,300575,161358,238600,1108,2023
"Wagoner County, Oklahoma",34899,31633,5.6,34899,25909,240100,1088,2023
"Benton County, Oregon",41238,38306,4.3,41238,22030,538100,1368,2023
"Clackamas County, Oregon",176600,167319,6.7,176600,122193,605400,1749,2023
"Deschutes County, Oregon",101712,88597,4.5,101712,62545,662700,1806,2023
"Douglas County, Oregon",50956,47733,2.8,50956,35261,326900,1038,2023
"Jackson County, Oregon",98858,92225,6.3,98858,61513,431500,1419,2023
"Josephine County, Oregon",39910,37241,4.0,39910,27532,399400,1166,2023
"Klamath County, Oregon",33387,30395,0.5,33387,20494,271700,987,2023
"Lane County, Oregon",171785,162001,4.0,171785,96589,438200,1373,2023
"Linn County, Oregon",53875,51636,0.4,53875,34539,398300,1359,2023
"Marion County, Oregon",134380,129087,4.7,134380,78760,429400,1416,2023
"Multnomah County, Oregon",373973,354646,5.3,373973,185619,543700,1543,2023
"Polk County, Oregon",35385,33113,3.2,35385,21509,466500,1201,2023
"Umatilla County, Oregon",32837,30821,2.4,32837,19429,299200,963,2023
"Washington County, Oregon",246408,237507,4.7,246408,147400,589000,1818,2023
"Yamhill County, Oregon",41807,40380,N,41807,29072,471900,1421,2023
"Adams County, Pennsylvania",44034,41810,4.7,44034,32649,275300,1061,2023
"Allegheny County, Pennsylvania",608914,547396,7.9,608914,360344,232300,1154,2023
"Armstrong County, Pennsylvania",32189,28117,11.8,32189,22317,157800,724,2023
"Beaver County, Pennsylvania",79461,73220,8.3,79461,55781,191100,840,2023
"Berks County, Pennsylvania",172010,163307,2.3,172010,117706,261200,1219,2023
"Blair County, Pennsylvania",55954,50651,7.2,55954,36296,157000,837,2023
"Bucks County, Pennsylvania",258078,249189,2.1,258078,193310,450900,1612,2023
"Butler County, Pennsylvania",88411,81535,6.0,88411,62014,296300,1060,2023
"Cambria County, Pennsylvania",64520,57282,1.6,64520,43811,121800,725,2023
"Carbon County, Pennsylvania",34528,28934,7.9,34528,22661,207900,1074,2023
"Centre County, Pennsylvania",67085,62175,4.6,67085,36678,322900,1198,2023
"Chester County, Pennsylvania",214831,205426,5.6,214831,155127,489500,1719,2023
"Clearfield County, Pennsylvania",38261,33554,3.4,38261,26289,145100,790,2023
"Columbia County, Pennsylvania",29947,25929,0.0,29947,18743,224000,870,2023
"Crawford County, Pennsylvania",42197,34813,4.0,42197,26128,150500,764,2023
"Cumberland County, Pennsylvania",112477,107981,0.3,112477,79993,285200,1148,2023
"Dauphin County, Pennsylvania",128573,121773,3.8,128573,75592,239800,1244,2023
"Delaware County, Pennsylvania",230090,215645,3.9,230090,154285,333800,1307,2023
"Erie County, Pennsylvania",120289,111118,9.9,120289,76673,179200,894,2023
"Fayette County, Pennsylvania",62428,55724,5.0,62428,39699,144300,745,2023
"Franklin County, Pennsylvania",67447,62966,3.4,67447,48109,248900,1095,2023
"Indiana County, Pennsylvania",37689,32454,11.9,37689,23749,152600,788,2023
"Lackawanna County, Pennsylvania",100392,88871,6.7,100392,57513,200900,1069,2023
"Lancaster County, Pennsylvania",220296,211669,3.2,220296,145915,306900,1329,2023
"Lawrence County, Pennsylvania",39650,36638,0.0,39650,28355,150800,763,2023
"Lebanon County, Pennsylvania",60368,58012,2.8,60368,41238,235400,1186,2023
"Lehigh County, Pennsylvania",152143,147524,1.8,152143,95612,318700,1346,2023
"Luzerne County, Pennsylvania",151547,136046,7.0,151547,93104,179900,1058,2023
"Lycoming County, Pennsylvania",52777,46849,3.2,52777,32302,205900,869,2023
"Mercer County, Pennsylvania",51032,47517,1.1,51032,34790,166800,874,2023
"Monroe County, Pennsylvania",79881,61129,2.9,79881,48380,275300,1325,2023
"Montgomery County, Pennsylvania",352167,338467,4.8,352167,239242,445000,1674,2023
"Northampton County, Pennsylvania",130430,123536,2.6,130430,88067,312800,1390,2023
"Northumberland County, Pennsylvania",43443,37343,2.3,43443,29163,164300,746,2023
"Philadelphia County, Pennsylvania",760242,688112,5.0,760242,356697,246600,1390,2023
"Schuylkill County, Pennsylvania",67424,58809,3.0,67424,44546,149600,801,2023
"Somerset County, Pennsylvania",37898,29435,11.4,37898,23118,144700,794,2023
"Washington County, Pennsylvania",98498,89091,10.2,98498,69523,233200,956,2023
"Westmoreland County, Pennsylvania",169312,155459,3.0,169312,122493,203600,862,2023
"York County, Pennsylvania",191099,183864,3.5,191099,138048,257600,1149,2023
"Kent County, Rhode Island",76747,73493,4.6,76747,52983,366800,1342,2023
"Newport County, Rhode Island",43768,36932,7.4,43768,26048,633700,1657,2023
"Providence County, Rhode Island",278242,259528,4.4,278242,148289,377700,1369,2023
"Washington County, Rhode Island",66714,53307,5.2,66714,42031,541500,1194,2023
"Aiken County, South Carolina",81620,70920,9.6,81620,55994,223400,1022,2023
"Anderson County, South Carolina",93805,86773,4.1,93805,66018,250500,1053,2023
"Beaufort County, South Carolina",105573,87165,19.0,105573,65288,466600,1759,2023
"Berkeley County, South Carolina",104001,97713,6.9,104001,74616,330400,1654,2023
"Charleston County, South Carolina",213374,183800,11.5,213374,118115,510900,1665,2023
"Dorchester County, South Carolina",69568,65532,6.3,69568,48590,327100,1505,2023
"Florence County, South Carolina",62685,53651,10.8,62685,34177,173200,1012,2023
"Georgetown County, South Carolina",37812,28720,0.0,37812,24073,322200,1517,2023
"Greenville County, South Carolina",243913,226571,6.6,243913,154200,326100,1295,2023
"Greenwood County, South Carolina",31948,29676,2.1,31948,19622,191300,894,2023
"Horry County, South Carolina",224223,168080,15.6,224223,132197,316800,1265,2023
"Kershaw County, South Carolina",30664,27356,7.3,30664,23092,222400,1032,2023
"Lancaster County, South Carolina",45158,42439,8.3,45158,35201,334300,1097,2023
"Laurens County, South Carolina",32393,28833,4.8,32393,20475,172700,876,2023
"Lexington County, South Carolina",135263,126509,4.2,135263,96817,243500,1166,2023
"Oconee County, South Carolina",42857,34416,7.9,42857,25587,255000,814,2023
"Orangeburg County, South Carolina",41660,34120,13.1,41660,24086,123400,838,2023
"Pickens County, South Carolina",60078,54412,6.2,60078,39268,240400,961,2023
"Richland County, South Carolina",190567,169715,4.5,190567,104564,246900,1198,2023
"Spartanburg County, South Carolina",147365,134559,6.8,147365,97626,240600,1028,2023
"Sumter County, South Carolina",48004,40059,6.4,48004,26775,190400,931,2023
"York County, South Carolina",123625,113164,10.9,123625,86838,383600,1360,2023
"Lincoln County, South Dakota",30105,28842,10.4,30105,20917,359800,1261,2023
"Minnehaha County, South Dakota",92807,87657,9.0,92807,57429,297000,949,2023
"Pennington County, South Dakota",52914,48946,1.5,52914,32781,313000,1127,2023
"Anderson County, Tennessee",36238,33521,1.8,36238,24453,243700,927,2023
"Blount County, Tennessee",63062,56548,2.2,63062,44305,348300,1159,2023
"Bradley County, Tennessee",46536,42712,4.8,46536,28180,267000,983,2023
"Davidson County, Tennessee",372293,341597,6.5,372293,180349,437700,1620,2023
"Greene County, Tennessee",32916,28214,10.0,32916,21756,217300,737,2023
"Hamblen County, Tennessee",28467,27311,N,28467,19053,238400,901,2023
"Hamilton County, Tennessee",171046,157992,2.8,171046,100609,333900,1298,2023
"Knox County, Tennessee",219943,200022,6.0,219943,131505,359000,1301,2023
"Madison County, Tennessee",44300,40525,5.5,44300,24713,225500,1152,2023
"Maury County, Tennessee",47735,45571,5.0,47735,30795,379200,1219,2023
"Montgomery County, Tennessee",97515,91893,8.0,97515,54755,305200,1376,2023
"Putnam County, Tennessee",37080,34727,6.0,37080,20841,290100,873,2023
"Robertson County, Tennessee",30542,29522,2.8,30542,22754,355800,1258,2023
"Rutherford County, Tennessee",141577,134245,2.5,141577,85559,406700,1548,2023
"Sevier County, Tennessee",60304,42727,17.9,60304,29648,302400,970,2023
"Shelby County, Tennessee",405147,362776,7.4,405147,194545,271000,1226,2023
"Sullivan County, Tennessee",76689,68655,9.6,76689,51856,230500,879,2023
"Sumner County, Tennessee",85279,80536,3.7,85279,56663,411900,1424,2023
"Washington County, Tennessee",62732,57629,4.7,62732,38198,260800,1026,2023
"Williamson County, Tennessee",99702,95439,8.7,99702,75639,777800,1972,2023
"Wilson County, Tennessee",65428,60911,8.5,65428,48159,475100,1517,2023
"Angelina County, Texas",37288,31996,4.8,37288,20888,167400,1068,2023
"Bastrop County, Texas",41426,38591,2.2,41426,28828,317000,1605,2023
"Bell County, Texas",158782,145863,6.2,158782,85609,262300,1331,2023
"Bexar County, Texas",836113,758070,9.8,836113,449545,277000,1332,2023
"Bowie County, Texas",40178,36110,8.4,40178,23235,160700,1026,2023
"Brazoria County, Texas",154657,138692,11.6,154657,101477,304700,1471,2023
"Brazos County, Texas",102864,92216,6.1,102864,42183,309300,1188,2023
"Cameron County, Texas",162060,143033,7.3,162060,94661,154200,904,2023
"Collin County, Texas",453903,431746,6.4,453903,275791,513100,1866,2023
"Comal County, Texas",82086,75234,10.5,82086,58955,465900,1546,2023
"Coryell County, Texas",29882,28070,4.3,29882,17323,216100,1181,2023
"Dallas County, Texas",1079042,993312,9.7,1079042,499830,319100,1597,2023
"Denton County, Texas",390775,370503,4.4,390775,244791,460300,1747,2023
"Ector County, Texas",70135,66937,1.7,70135,43278,196500,1169,2023
"Ellis County, Texas",78763,75570,2.3,78763,56467,366500,1693,2023
"El Paso County, Texas",326149,301198,6.4,326149,190745,191100,1127,2023
"Fort Bend County, Texas",318065,303900,6.7,318065,234554,384100,1839,2023
"Galveston County, Texas",164232,142199,10.7,164232,96862,315000,1401,2023
"Grayson County, Texas",64132,56267,6.5,64132,37211,281700,1325,2023
"Gregg County, Texas",54275,47550,5.2,54275,28378,197700,1117,2023
"Guadalupe County, Texas",72231,69236,8.3,72231,56054,325000,1598,2023
"Harris County, Texas",1952822,1791013,9.2,1952822,988178,287100,1403,2023
"Harrison County, Texas",30094,26811,6.0,30094,19523,201900,972,2023
"Hays County, Texas",110248,105917,5.5,110248,67818,428400,1443,2023
"Henderson County, Texas",42610,33957,11.7,42610,26630,212500,999,2023
"Hidalgo County, Texas",314617,277001,5.1,314617,184249,151200,936,2023
"Hood County, Texas",29446,25660,26.2,29446,20647,350100,1514,2023
"Hunt County, Texas",44276,40067,4.0,44276,28720,259800,1214,2023
"Jefferson County, Texas",110636,94005,9.9,110636,60906,171000,1129,2023
"Johnson County, Texas",73192,65934,7.1,73192,49512,310900,1370,2023
"Kaufman County, Texas",55790,52963,9.2,55790,43208,347000,1526,2023
"Liberty County, Texas",37530,32959,9.0,37530,26630,201200,1099,2023
"Lubbock County, Texas",142808,128053,8.3,142808,66968,213900,1170,2023
"McLennan County, Texas",109561,96965,7.5,109561,62830,264100,1120,2023
"Midland County, Texas",73645,70890,4.0,73645,46554,314500,1328,2023
"Montgomery County, Texas",280341,262273,6.9,280341,182061,359800,1508,2023
"Nacogdoches County, Texas",29235,25074,9.9,29235,14418,201500,883,2023
"Nueces County, Texas",155871,132759,13.9,155871,78509,213500,1248,2023
"Orange County, Texas",38185,33271,14.0,38185,23964,180500,1067,2023
"Parker County, Texas",61205,57996,13.1,61205,46526,383100,1541,2023
"Potter County, Texas",49683,42674,16.5,49683,25303,144800,980,2023
"Randall County, Texas",62194,56279,10.4,62194,38800,236900,1059,2023
"Rockwall County, Texas",46264,43259,3.8,46264,34738,429700,2093,2023
"San Patricio County, Texas",30845,25735,5.6,30845,17615,193200,1165,2023
"Smith County, Texas",100755,81987,22.0,100755,57201,272700,1299,2023
"Starr County, Texas",23208,19004,8.6,23208,12708,89600,747,2023
"Tarrant County, Texas",861091,801716,7.2,861091,468641,336000,1569,2023
