Geographic Area Name,Total housing units,Occupied housing units,Rental vacancy rate,Total housing units,Owner-occupied,Median (dollars),Median (dollars),2023
"Adams County, Colorado",200085,192742,3.4,200085,131700,494500,1811,2023
"Arapahoe County, Colorado",272175,261161,5.4,272175,169673,567300,1933,2023
"Boulder County, Colorado",146373,137425,2.6,146373,84169,763600,1915,2023
"Broomfield County, Colorado",34454,33563,N,34454,19844,660800,2086,2023
"Denver County, Colorado",366952,342996,4.8,366952,161601,626500,1843,2023
"Douglas County, Colorado",148748,145551,2.4,148748,109279,725500,2219,2023
"El Paso County, Colorado",312300,298973,4.7,312300,198562,470900,1708,2023
"Jefferson County, Colorado",256111,242433,5.5,256111,169205,645900,1851,2023
"Larimer County, Colorado",167381,156498,4.1,167381,99088,574900,1699,2023
"Mesa County, Colorado",71412,68115,1.6,71412,47295,373200,1184,2023
"Pueblo County, Colorado",74540,68732,5.1,74540,48988,313700,1165,2023
"Weld County, Colorado",134498,129057,4.4,134498,96557,475400,1569,2023
"Capitol Planning Region, Connecticut",417674,391422,5.8,417674,255691,326700,1389,2023
"Greater Bridgeport Planning Region, Connecticut",126424,119505,5.9,126424,78657,441400,1488,2023
"Lower Connecticut River Valley Planning Region, Connecticut",83142,75959,3.6,83142,55729,385300,1449,2023
"Naugatuck Valley Planning Region, Connecticut",192837,180851,7.8,192837,122819,327000,1298,2023
"Northeastern Connecticut Planning Region, Connecticut",41858,40349,1.0,41858,30324,305600,1217,2023
"Northwest Hills Planning Region, Connecticut",55885,50297,5.0,55885,40554,331100,1141,2023
"South Central Connecticut Planning Region, Connecticut",249100,233004,4.2,249100,136990,349200,1471,2023
"Southeastern Connecticut Planning Region, Connecticut",126592,114156,4.5,126592,73939,323700,1348,2023
"Western Connecticut Planning Region, Connecticut",252498,237426,2.5,252498,153418,657900,2076,2023
"Kent County, Delaware",77902,74183,2.0,77902,54155,325200,1320,2023
"New Castle County, Delaware",237269,226373,4.9,237269,158804,357400,1393,2023
"Sussex County, Delaware",156301,111492,9.4,156301,90172,397100,1236,2023
"District of Columbia, District of Columbia",367125,334673,4.7,367125,130934,715500,1904,2023
"Alachua County, Florida",130190,121753,6.5,130190,67799,307000,1370,2023
"Bay County, Florida",110843,80689,16.7,110843,55569,327700,1534,2023
"Brevard County, Florida",304028,258656,12.7,304028,198445,356600,1648,2023
