RegionID,SizeRank,RegionName,RegionType,StateName,State,Metro,StateCodeFIPS,MunicipalCodeFIPS,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31,2025-01-31,2025-02-28,2025-03-31
3101,0,Los Angeles County,county,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",06,037,1768.47922654684,1779.5097062273044,1791.621926240024,1801.7122041840266,1811.9183745320297,1820.9332462818445,1832.0744748224338,1842.3069655162865,1856.9292720734736,1868.174966338825,1883.4007804546654,1896.1678214201957,1907.0690919913834,1916.2568249601595,1924.8551414974804,1933.944305874914,1942.0760583130802,1951.7676767500252,1962.2014781263892,1971.7086236357475,1980.090598479187,1988.6361426191377,1995.8478635738677,2005.6208136085052,2019.298356996407,2032.630344878531,2047.0583573992556,2057.0193515344777,2068.273286170513,2076.3761482039645,2085.599114834212,2092.3263502526734,2100.9459703388698,2109.4641027152065,2120.1125031923148,2129.787026845071,2139.8944036039684,2151.8644950654734,2157.3140534824565,2164.4426007036973,2169.459831973854,2180.676947053281,2190.50643923148,2201.8430813242794,2210.34428840392,2219.6548337805493,2229.0490509812703,2237.156536227272,2243.3765433958547,2247.55863443952,2256.3116352983643,2265.7647021746043,2276.1152119554918,2282.5659083104806,2288.8942091834715,2295.1841191792773,2302.390661017335,2308.7407146058795,2313.778402627557,2319.540087647585,2325.4458037320624,2331.757983410858,2326.6758914365378,2320.021159845404,2311.43261486895,2303.3365740132945,2298.2744334199438,2291.8158681423397,2286.80664087336,2286.737261985932,2290.9740162276116,2293.9511380279027,2300.1532173014216,2305.6218547399403,2315.035245245611,2325.675687487719,2343.3069017899943,2370.337060516914,2401.2113734637487,2436.9882037464054,2469.2582358747577,2496.946481343027,2519.053928981041,2544.413209828899,2566.8899606900613,2592.2546746713942,2611.88862264106,2636.6325120731663,2656.737106542505,2673.652150388078,2687.3407161852724,2698.678114231026,2709.3864701001157,2714.8029123875103,2721.3528544212554,2727.289242899899,2730.131426318344,2734.155377008971,2742.435473444224,2747.8794083025214,2750.6044860267,2751.218638243889,2751.998552852099,2756.62064362224,2759.4158410131126,2767.4536854415505,2771.7437855064823,2779.1940417200994,2778.588746119897,2782.538044217983,2789.5987037230193,2793.7442231513455,2800.8562979896733,2809.1701114161615,2818.2429928559186,2824.7854924032667,2834.1024333073847,2843.135564520494,2855.9050222814094,2866.2751417313457,2885.3193873677537,2900.2550267202746,2912.353067765344
139,1,Cook County,county,IL,IL,"Chicago-Naperville-Elgin, IL-IN-WI",17,031,1498.4844973940249,1499.7213541716876,1504.3884247930175,1508.0967568366495,1513.9947711796178,1516.7978408654574,1519.9829216281832,1524.0890060926156,1528.464176246677,1534.2496169925294,1538.7368072514248,1543.9737829030503,1548.1259026073576,1551.7381191147606,1554.0825758972999,1555.2802887780513,1556.312246653224,1559.810912504267,1565.183577016174,1572.643781970302,1576.068927345625,1579.1567689542599,1578.6503760332307,1578.2885811623862,1579.5013745357533,1585.6882479913368,1594.1743165401442,1600.8582270157601,1605.340228835334,1606.5336213108217,1607.0953310857099,1605.4295369630388,1609.208759578568,1610.6022318244493,1615.1399302300656,1618.7288699325154,1623.3560380600654,1627.7744666075655,1628.3476780121703,1630.3728711460851,1632.9634368274835,1638.2172346204595,1643.2141380855196,1645.4082615396962,1644.9837973761582,1645.8660393529433,1649.8418872434927,1657.1073130634454,1661.6203709717713,1664.2261210533268,1667.7009431585257,1671.2933575427567,1675.6087593501097,1679.10055640657,1682.8408280937217,1689.4553495714097,1696.329693854385,1703.484175809981,1707.5620473393744,1709.6157365206554,1713.1494607399216,1717.421404359144,1719.7198261682738,1709.2678732629229,1697.2140069267425,1687.4681766165577,1682.415895357282,1677.2111730838822,1670.0233605561823,1659.4066002088848,1651.4195538610243,1649.4873282854408,1648.5553804351646,1654.1466595995694,1661.3693220303107,1679.2887473852657,1696.9548337465853,1715.345877266607,1730.2812691134636,1745.1301234504654,1761.5507990743822,1777.672188510596,1793.0273402958849,1807.0240378796314,1821.09531456849,1831.4514464661988,1842.3978767467559,1853.6902016274673,1868.0965821622235,1879.6049867953855,1892.9629278140615,1904.4575340248884,1916.339098289567,1928.7311202301219,1940.4941937748736,1950.6780426788569,1958.907363354273,1966.502833413246,1974.7299930252623,1980.8190087474884,1989.6168158005673,1998.9036303021712,2008.3052786726246,2018.9216156474192,2026.4089903659415,2031.4744040935805,2034.8132104377605,2042.7992976797966,2053.804483028873,2064.644690044219,2073.0008740346607,2082.2441864760563,2088.1166426646937,2095.142242635817,2102.0618550235013,2109.320058247535,2118.8198598595054,2130.382099733503,2143.9111280558423,2154.8668239622866,2164.5720126510564,2175.5383310158736,2188.187334404593
1090,2,Harris County,county,TX,TX,"Houston-The Woodlands-Sugar Land, TX",48,201,1194.2264927010033,1195.8366170067818,1200.5101346693011,1202.162076026495,1204.8339269158723,1207.1358431988458,1209.6266395633832,1214.1358781218885,1215.4477677225584,1217.6736088403882,1218.3487387254318,1219.6497850970707,1222.1124616293362,1223.0891483385926,1226.3245299658704,1225.7997835597546,1223.415068531015,1221.333240604887,1222.4841632927728,1223.918015212261,1222.2674213943005,1221.4053540288116,1218.3005913474904,1217.4029803487615,1218.2434035344916,1224.1173567508965,1230.2214480414766,1230.1589001851944,1232.9655650324069,1232.0753749144972,1234.6119032306103,1233.8353226933632,1244.119333095017,1253.848507262058,1267.0080298464795,1275.4394870381996,1279.2725222054446,1282.8399820404913,1280.521464240194,1285.1316485212474,1283.8994638907275,1287.290806568904,1287.4603765787622,1290.049997995571,1289.9599563255078,1291.9673379160974,1294.3534846959128,1294.7469470422252,1295.8116248100619,1292.5629077068932,1296.6728304064955,1299.3647618141292,1305.420434622195,1309.6646109519806,1314.0132940795575,1318.0347793246547,1319.3993838047347,1319.47142018047,1318.333088926006,1320.854681830552,1324.957411340594,1331.6760127350324,1338.1862018722534,1333.9948623475086,1325.0755712277046,1314.809191322862,1314.4672685329463,1316.2257190038083,1319.686445081168,1324.1248827427055,1329.1270854364202,1332.6885963124128,1336.7122679488518,1339.0078427250328,1344.217591228105,1355.7389187942174,1372.6247904399704,1394.2659538975097,1411.6767266029062,1430.3689807179412,1446.4483820777023,1459.691357389021,1471.0920639607689,1479.5896880065322,1487.9734218811304,1497.1913415663628,1504.6108969038223,1513.6013177932482,1519.849793539782,1528.4371921480383,1535.3230423827442,1539.8737702419796,1541.6701594302203,1542.1051700144997,1543.1618436029237,1547.4675932709702,1553.6964921245567,1560.7189209350222,1568.321943832744,1570.299591318699,1573.235546698929,1573.3167533772864,1575.4663094550594,1576.082890405551,1576.4868404070737,1578.0226196996339,1581.2469100350093,1586.0121728635602,1590.8031403828868,1594.4053239217496,1594.2799741246047,1597.6256668384008,1600.3670303457277,1602.9526529379714,1605.2940400735306,1609.423143436409,1615.3494510523574,1621.3919375321848,1625.9401264190737,1628.136188224838,1629.166024237526,1630.4610280152226,1634.452141528843
2402,3,Maricopa County,county,AZ,AZ,"Phoenix-Mesa-Chandler, AZ",04,013,955.7736710353271,967.2415541171656,971.314789526514,980.822285569722,981.1463964800897,987.2753099210271,988.4942499865125,991.895399442699,997.2144491167962,1003.6914747758959,1009.8571253089374,1014.8380278090492,1019.9772993376932,1021.3118796205639,1024.54007725337,1026.6676636354914,1033.23685686107,1038.4211424189698,1044.0838906556207,1048.7513093619884,1052.4740566567566,1055.7602276748748,1059.867929728762,1064.2123404776873,1070.9894151995386,1077.0319979536712,1084.8117960899058,1088.865578954957,1096.126363329433,1100.5487061830413,1106.940426050811,1111.5914029776845,1117.031286481007,1123.1597324517468,1129.3633075721589,1134.603399689626,1139.9616722757455,1144.465607815973,1152.7732965596524,1160.5610982413298,1168.360422199757,1175.3295463316285,1182.8788240289407,1191.1909490012881,1200.3451871917384,1208.9865310064106,1217.744850800262,1225.6144718514224,1231.5791933896483,1240.0906856607824,1245.8426159558176,1254.4575843300397,1261.0664875571165,1270.3731692034262,1278.6041000228631,1287.6878109251918,1296.2360076137236,1305.2844327991463,1314.4204503824412,1325.214902194571,1337.375253124836,1348.763960429668,1350.7629015652265,1348.841166773384,1345.5833114915545,1345.5741683478107,1353.4768385586478,1365.2830834931892,1381.0551266941675,1398.6909497325794,1416.9668205694618,1432.9631286467888,1449.7382414139333,1465.257335237663,1486.6843845542608,1514.9119723334838,1552.976704372996,1595.3126165632104,1636.7150910263763,1674.6955234913569,1707.210371070358,1734.4502881742035,1754.9842941760521,1772.4226112213184,1787.2633561684627,1800.3690041573348,1810.0954001099656,1818.3921482872825,1823.1250877887715,1826.5911215931944,1825.0772381487807,1821.8790155830359,1815.2634548423068,1811.1481388384523,1809.8145973880073,1812.391907614018,1812.0898641895496,1814.7203147096163,1822.3306412323445,1824.8286695158843,1824.4671238042795,1820.0516809424942,1819.5598165997214,1818.468441818921,1818.2410413496814,1820.173595251911,1821.4730980611926,1822.0524182804265,1823.6671245198283,1825.744145606958,1826.8449973678794,1826.8118952799528,1827.638561391241,1830.397032382587,1831.8755578174894,1834.6008975832244,1838.6352835931223,1840.2175613813151,1841.5892884200944,1841.6564659926137,1842.1197007919086,1840.6138090100803,1837.3901158679075
2841,4,San Diego County,county,CA,CA,"San Diego-Chula Vista-Carlsbad, CA",06,073,1682.213636110178,1691.1599254986133,1697.6513074348218,1699.000142183573,1703.902135510865,1708.5651834593352,1721.0713488916422,1732.801811725628,1743.9072169373144,1754.4592945307966,1760.4729225481797,1771.4981659480463,1777.4166696615184,1783.2731594092147,1789.3562141253835,1796.8503599801986,1804.50976845085,1815.5143721019729,1823.787262773893,1831.94261870588,1838.5625104210287,1846.752156040945,1856.4988575442694,1863.6436912421798,1871.2492413079337,1883.6813948567199,1898.249900326938,1913.0967230608705,1922.8348381420258,1930.7745527077277,1938.6087217916227,1944.7210901467379,1952.1590859925643,1959.1154176507475,1967.9569550645142,1974.1724143597253,1985.7965477156367,1995.5415853527825,2006.0057628726402,2012.7491172536347,2022.0565674298007,2029.0768472509374,2035.7521423360797,2043.6300388887037,2052.896113609221,2060.4607860516303,2064.1090700166487,2070.9672815339236,2076.9669237720445,2083.41649340235,2085.7655068733097,2090.8236437783034,2096.3486710190123,2103.7888199249546,2111.778274246381,2119.621849210271,2125.9226431479437,2133.3661276869634,2142.596565395389,2151.016400459592,2157.419749090531,2163.4458385371872,2164.036124735522,2155.8594059033135,2145.660678693285,2140.762696055844,2143.4083420164147,2146.5958814826354,2154.7261510513727,2173.4070536263303,2195.4198846097547,2213.9631381607915,2228.6320881485576,2243.4247968635327,2262.0801375505707,2287.545301223668,2318.854421720107,2349.593601635261,2389.1637944576005,2433.4071148419152,2485.926375645126,2526.1209035136653,2562.995439879669,2592.4555298378696,2624.219770611523,2655.4002993686645,2682.839029769415,2716.8754826474346,2748.50043240109,2784.2398159395602,2805.690981532728,2827.2438693121985,2833.496182093963,2838.4541032366337,2836.845830165263,2845.5427634603175,2852.4393462931203,2864.241699826685,2882.7401232327506,2896.0744073310993,2911.2100291281604,2917.482142315048,2925.074419265734,2929.964881274472,2933.819524670581,2934.9817058430094,2933.265733684541,2935.370062935033,2940.953090459281,2951.846589646125,2960.3914746540277,2959.0520193067227,2956.001996789884,2957.3424613336783,2962.122940261253,2967.475420616573,2978.621395676176,2994.447636958005,3015.7938453208767,3030.3892583539255,3042.3329240562325,3047.593515451543,3052.0559472579043
1286,5,Orange County,county,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",06,059,1900.485241385727,1909.1156464285357,1918.9429649453186,1928.3596985859863,1931.4180006821132,1936.926333441055,1943.9782384948642,1957.9327102748312,1966.4253397547234,1977.215515954268,1981.4706524095084,1991.492794141615,1998.2811367314328,2005.3172540390526,2006.2997595887337,2007.9308960490848,2017.274231033433,2028.8890696436868,2039.0859894635398,2042.2041939466717,2050.090990786755,2053.6622602570137,2063.86642007349,2064.9034451628268,2075.360630449993,2086.0103084059006,2103.367600524776,2116.4392281119226,2121.305070806368,2125.4988206268686,2128.6650471644007,2135.9625808465507,2142.8614334530207,2146.7516661078375,2152.683211617778,2160.217570011101,2170.059135485744,2173.9767551370373,2178.9725482303343,2183.4613531197715,2187.2902024955424,2191.2769983019693,2194.8651241088583,2199.675789975217,2204.784919295824,2212.4556374733393,2219.0993806912784,2226.51383103179,2227.7047756509496,2232.7207315523933,2235.1031391303995,2239.8794332273524,2247.72618645557,2255.188589549479,2263.636599784073,2270.2910147419157,2276.006926873147,2282.0207605788282,2286.6081386140927,2291.585266881733,2298.4308406888285,2305.3579647735746,2306.791542322008,2297.2760294098575,2285.5596206366445,2275.1810766554154,,2268.2459061385534,2275.4633157167164,2290.2169494235045,2304.9515762841693,2322.528718085872,2341.7513169208614,2365.4669490469178,2387.153336250063,2411.847825754532,2442.2990790400972,2485.068823353951,2542.332058614995,2613.8013251963475,2677.9064817897415,2723.9706048960797,2759.3335455430138,2787.46039243016,2815.5755485804434,2838.8731838946774,2867.396241422004,2901.4087254487285,2930.725079672103,2950.3830620284025,2953.04728852401,2946.1751218137615,2936.4451599923573,2931.4621763015602,2933.2954304692216,2935.4385950673704,2935.895955602486,2940.1349868951934,2950.209161290794,2961.097556079723,2970.7306623478207,2978.6307882823803,2993.998315515274,3009.687471326753,3020.952171922757,3029.0603989552806,3034.4226172070435,3050.5153221462074,3059.501107822476,3070.1764901297624,3068.803465296236,3068.7409083866073,3070.7218368098825,3075.868986342604,3079.9852479727438,3085.354270375639,3097.069528046519,3112.6578675675905,3129.211495152516,3138.598822260364,3154.187413517776,3167.557897659755,3186.6388984270507
581,6,Kings County,county,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",36,047,2254.506883546756,2269.709995360835,2289.0893380012017,2299.9079667766073,2309.60756700213,2324.2802762836554,2327.832665121259,2333.1908986840654,2345.1241326982354,2363.0000749781852,2370.761240843344,2368.7273893068636,2369.468904242872,2375.353732232331,2381.6252536172237,2379.535804324326,2376.407996761214,2375.8805109506993,2381.881525215047,2390.031240106567,2395.64119531221,2401.8174920387964,2417.3623208444537,2425.3256671319687,2426.9800194949985,2420.034638050545,2415.807240898517,2420.418195389897,2421.493281768475,2426.6075506046263,2431.9246989786666,2438.073647989675,2437.050882214081,2430.1690656721844,2426.854332828616,2434.7312014246836,2444.06482220842,2448.572961698789,2450.3987501818638,2458.1586601453023,2464.4993589940536,2470.565853848011,2469.7895138890162,2473.635546558553,2475.4157391476656,2479.4248665537934,2481.761055602708,2484.452097854505,2496.109932321887,2510.828712577478,2523.6438460691143,2530.0848687923526,2540.043716825621,2548.1138573234048,2561.0308983472337,2570.234126872238,2585.6507371522393,2602.773421166028,2618.702617603535,2631.3700011333317,2638.3052351262727,2647.7128729838405,2641.432449705425,2625.4302385664846,2595.588164585653,2557.2110226267537,2523.7471531983774,2486.382427183639,2447.283133057664,2420.0145913444544,2406.6264300243506,2407.0094311473113,2405.4162085451294,2408.6292194066154,2415.1786770156327,2436.562169428275,2460.7671430383143,2497.0505605478843,2534.6357703916415,2581.343050867578,2633.346204296772,2677.9877304801903,2726.9433400961284,2762.6481699987125,2803.366283712252,2833.1229895488227,2868.318985474114,2897.9352756770704,2936.8894360914496,2974.6790159541442,3012.4534247112942,3044.0546005521182,3062.718586313546,3079.854036129708,3078.999868141997,3081.777667629361,3084.480456733435,3092.041077893865,3096.0617669137437,3106.976918831047,3115.327888215823,3127.1268758829665,3133.6375235240644,3145.894358124555,3161.9392065926204,3173.1058326878324,3175.9061187995917,3189.126743922196,3202.0176680937525,3219.406860303912,3223.6077512613733,3230.9464226149325,3235.10960438264,3234.6263785203405,3238.115264813853,3238.3889483287767,3241.1418426815144,3249.682644735023,3271.7233330199206,3286.1209144587515,3299.1774799913064,3308.1571367142283,3327.385490890739
2964,7,Miami-Dade County,county,FL,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",12,086,1646.4594008384065,1657.3378460216204,1667.0031712776372,1675.8339912331335,1682.8019427431122,1689.5073863325767,1696.3809353267316,1704.5958957511282,1711.7454135252462,1714.911545717412,1723.8285211919008,1733.17490724318,1739.9352044182297,1741.439388438086,1740.8219986707713,1740.184179331387,1738.0632502035169,1735.9336140210632,1735.9952819660882,1734.2598264012836,1733.8056188809646,1733.2140843044012,1733.0220354577555,1731.0785181544595,1734.6015070057606,1739.191829840493,1746.5952990515675,1747.4398003720432,1748.7859064232507,1750.3642443426681,1752.278696888531,1755.8688532009278,1759.0485707117443,1763.3892557710212,1763.9860487189255,1766.2024370581469,1768.5264629871504,1773.6132433563077,1776.2914420459583,1780.9925135830788,1783.1026711434874,1788.7094296374771,1794.3046053130704,1800.6492411814763,1804.9955577378637,1807.4590646916445,1809.0576062853092,1811.7349813852102,1814.3487185803112,1814.6426529146554,1816.1437130868048,1819.5953917464517,1825.464614877378,1828.8073580296546,1831.8536232996194,1834.076015182077,1838.1322040317239,1843.500046300926,1851.4956591826538,1858.6327150130526,1865.2181081504616,1872.663764637155,1865.0352350029257,1855.06564559186,1844.0603397153036,1839.0114143331173,1839.2398491215515,1839.755316393986,1839.6202177846699,1847.7770745600133,1864.3347149835024,1881.8161421775221,1907.179336722657,1937.4639588611742,1972.919196765339,2010.844807912551,2054.5616915902046,2108.796670421098,2172.0532199441404,2237.0332452257508,2301.3078217503426,2354.833766591454,2404.6314661848464,2459.5558841667503,2508.164069541571,2563.780400472213,2611.52719670398,2668.6120771065,2713.233648765987,2747.135937603742,2769.5479685583164,2783.790561586341,2797.439704066005,2803.057521617462,2806.2466539486327,2812.124692349823,2818.230932058623,2819.5932470493212,2821.413682218782,2819.838439820917,2821.067407646805,2821.579924947561,2819.857937410919,2821.4257562218686,2821.278607401904,2830.27893699326,2841.3627179208183,2844.97852009131,2848.00609311044,2852.7201725623395,2866.2257421315867,2867.705561392323,2870.727920390177,2875.301998638193,2883.3809156775756,2891.18520975002,2899.435243649063,2905.3287447328503,2909.7768172937094,2915.930681023616,2922.1013831770047,2926.210769384745,2923.634648706331
978,8,Dallas County,county,TX,TX,"Dallas-Fort Worth-Arlington, TX",48,113,1087.3370160156987,1090.4208214513596,1095.657399771883,1105.426564717478,1113.3001155873367,1118.5587103959053,1124.9103512892452,1129.6637856161503,1136.2546294123588,1140.9680918359566,1147.9057577109477,1153.8122270822757,1159.752801500306,1165.7521655268886,1170.738076919431,1176.4288918704299,1179.8876618785407,1186.0885151621344,1189.2470882341156,1195.5220810123474,1200.9249132928853,1210.1513795685655,1214.252006629007,1220.253201814529,1227.8318097982774,1232.8926628808847,1241.6739613778234,1246.151834307349,1256.0965579606502,1256.3304493075261,1260.3001538031162,1261.6865637795147,1267.673726017203,1269.245660490483,1278.8898968643443,1285.2171073502393,1289.4856860974983,1294.8398611802368,1293.9075452630398,1295.5767933021464,1292.288200408095,1298.6049797080138,1304.379235191535,1310.1773000101343,1309.7747323861881,1315.1327404986862,1319.5803199677955,1327.1055355156693,1331.257264928766,1332.1202659185228,1338.7606931550379,1344.9643810212874,1352.5221225431922,1356.6109965289231,1359.5387868704388,1362.7594350128588,1368.3200587422134,1370.5753069469417,1370.3000843945765,1368.6687646579999,1370.0259131604003,1373.565053568223,1381.5313937246763,1377.1916936230216,1371.9174383056513,1362.5893048502987,1359.6676982462363,1359.3438523756108,1364.8012515365094,1372.8702086352262,1379.7620478242593,1389.7772626360636,1396.1217622565787,1407.2345054182133,1415.204230178675,1431.415140794342,1449.586550134048,1472.5864412542123,1499.3733539629554,1527.1837485945562,1553.4296340997716,1574.3158965334446,1594.318468698496,1611.9601827015822,1629.4016421168878,1644.7242496983115,1656.421179545135,1672.4293259534218,1688.6838896360948,1711.9100650795706,1724.6696868081142,1728.7594153316054,1727.1343385167634,1720.9203586203641,1718.720025584611,1716.8191827943222,1718.7477014662486,1721.1311948910404,1729.5367972022102,1732.1952415428118,1732.4203197456889,1724.523281953889,1721.4072153018037,1719.0893939783098,1720.2224598289617,1723.4096033300839,1725.0463950730918,1726.4729305415062,1727.6431753643728,1727.4721329629233,1724.1340988648628,1721.4996821878408,1719.9622858916841,1720.0434799426178,1720.367041207055,1723.6516622707609,1726.9160482044576,1731.4790334111156,1735.2387621519965,1739.1109104737113,1741.3874713653292,1744.6912592651547,1748.4097945721333
2832,9,Riverside County,county,CA,CA,"Riverside-San Bernardino-Ontario, CA",06,065,1365.0884281423837,1365.6871163069918,1369.0525714657374,1376.6960575044257,1384.5146582634036,1392.7250867623836,1397.824734256341,1403.7159018558882,1409.1486316329444,1418.2634221622434,1423.7769696375974,1431.7713018375164,1432.9860345267991,1441.366037849132,1444.0920291209227,1445.4590657977171,1450.0770313723847,1453.56747405578,1462.3154515423553,1466.6349661237696,1478.371566360772,1482.9549262372075,1491.435158930355,1493.7930487110832,1508.641927948237,1517.172654525316,1529.659122231969,1541.1573571729105,1550.37938002827,1560.877873974241,1566.074840982367,1576.5229842828498,1580.854913345183,1586.44611327061,1592.1378421277686,1598.9830831277275,1608.530348381345,1619.2322058615746,1629.2565110758367,1632.45477316746,1634.7707526786571,1640.9476647213824,1649.671365013006,1657.761209113784,1667.5436232654934,1678.888180912738,1688.4476233223863,1698.0311032858378,1701.6603108552954,1704.2913235610738,1708.3764096257512,1718.537131861079,1729.8514486962945,1737.7403853376688,1745.2458107790733,1751.4625382828365,1757.7582013912856,1763.576110210202,1770.0223252069288,1777.146000996918,1785.030720352633,1794.2705851715818,1794.6674632598074,1796.6203170115427,1793.8207437719996,1802.864255290819,1816.1184735697088,1838.4626025720067,1861.1239348342779,1888.3722932246815,1916.3057063427304,1945.487273003091,1972.000849036714,1997.9218005960415,2021.6876777084867,2043.9174002102984,2081.362868852595,2116.3819654592057,2161.2872357555552,2196.1402329175194,2231.35211374294,2254.260916901223,2278.4892406000895,2293.362992099177,2320.168898558905,2338.1292666672753,2368.275513469478,2396.0586681097393,2414.327434078257,2430.7283016394717,2434.9490243674472,2440.530017649231,2441.0900653095787,2438.3086814561157,2438.835664435828,2439.5348745756955,2445.4602346675583,2452.559659637095,2461.5245363894064,2464.4568482452164,2468.146508503165,2469.167472694662,2467.9401899586705,2475.3773070658194,2476.9501259466947,2497.878069787508,2506.4273520118854,2515.2159441277736,2506.84659099452,2516.528389912176,2527.9881439613155,2533.432809130668,2539.142284082485,2547.458068533326,2560.5464015792513,2567.7186474152604,2581.1890103785554,2583.130608156815,2592.1869225281494,2602.404738497177,2620.440937910327,2625.4705828217707,2625.395623996113
