geoid,x,y
15301,-80.25338811675093,40.1636485916871
15658,-79.22135350555934,40.25464530953268
15601,-79.53528008270405,40.31331336587258
17720,-77.20389745744563,41.1808215628461
18843,-75.89537467860714,41.8014372842335
30114,-84.53989897308224,34.24426526326795
30281,-84.19737038933228,33.56362762887794
31044,-83.37707541666744,32.66904156665235
31419,-81.24089822952476,31.98762773838512
30137,-84.76478463848957,34.11745840720253
30184,-84.71599177576527,34.26041251406419
31519,-82.86909454957774,31.67689583977684
30427,-81.9679503351807,31.92241910647654
30824,-82.51388702549453,33.5165337330054
89421,-117.94773681938511,42.04467547988758
48225,-82.92884854372353,42.43870824651902
08072,-75.41147339447605,39.54509838054042
07821,-74.74648508784341,40.96381565140914
08820,-74.3650730673645,40.576675834893294
63556,-93.11726377899208,40.18291932859936
63456,-91.72622422881062,39.65278934657123
98563,-123.60847290024802,47.206559211748456
64083,-94.44957658804014,38.80118136713367
65667,-92.5150309907732,37.30516273205599
65041,-91.47608280126212,38.64120867643999
59010,-107.30354322172802,45.97415980468042
59432,-112.58889249031932,48.14582543071042
59316,-105.04925293777524,45.337466602912784
59812,-113.98275804427688,46.86157945294777
37705,-84.00804672406942,36.22992934320376
38464,-87.43019609422734,35.290199857583524
37327,-85.40074806440614,35.4219596969921
37064,-86.96175567183603,35.889868131999265
38501,-85.53906334449613,36.22607889477773
37385,-84.23099916952663,35.33467334502326
37185,-87.83886415840881,36.07123188953235
37847,-84.27317980515252,36.431948042396414
37032,-87.0156751300634,36.527092870802186
28560,-76.97640542609102,35.134026872300936
62663,-90.32699008947692,39.5406355463655
60091,-87.72887005241458,42.07713109829297
40014,-85.43162826608135,38.34176411700722
41701,-83.18627782623598,37.297687481947655
40828,-83.14715213678194,36.87123660315032
40330,-84.89042616044615,37.7888257248075
41041,-83.72513674994684,38.40386749512852
42256,-86.94814489307458,37.017906350411536
41314,-83.6380663962241,37.43971957381117
42160,-86.07939804873007,37.10661366432495
42323,-87.03350202875589,37.17527919127455
53516,-89.86987982487086,42.800789793575134
54868,-91.70957828154104,45.52766932654058
54806,-90.85074063800649,46.54722881398988
54634,-90.42671243269773,43.59622556266345
53934,-89.82083867005431,43.9812001791934
44615,-81.07603395943185,40.56665249055055
45205,-84.57501644179682,39.109961955655024
50477,-93.32815211123707,42.98593514495532
52056,-91.0750918007648,42.604142665220245
52252,-91.22707135143966,42.197534967624165
50478,-93.78414294369126,43.40384949290512
55923,-92.1835808335262,43.84908540433987
55003,-92.7795976979638,45.01141940466732
55962,-91.84378200010228,43.76442036596259
64137,-94.54199868267408,38.93183752007714
58481,-98.42835562396434,46.934969562036
99762,-164.80692296517478,64.84894726812924
99611,-150.8917284467166,60.74763663614903
07311,-74.0284317817242,40.71954424546334
08863,-74.31312212888133,40.53645542961556
85936,-109.29135446101424,34.60629111782581
85324,-112.07082019108832,34.10414487914883
85329,-112.29665790467604,33.4309980250812
32780,-80.78448701602454,28.54644429431151
33980,-82.05175831364615,26.98095153355525
46617,-86.23293115161594,41.68341548775577
47601,-87.25576319874267,38.05324205923634
47306,-85.4076244495963,40.20434140222926
46173,-85.4266298412733,39.604454315590566
46738,-85.13764099416385,41.32178257674938
24558,-78.95527013326975,36.77967040082558
24483,-79.22615695996876,37.81401396304797
23917,-78.33924955001845,36.62437192364162
23185,-76.68699934332497,37.24762964294064
16238,-79.52146790293965,40.78620447240916
16101,-80.28946360085305,40.98908674968687
15211,-80.01336849742168,40.42853036268299
97479,-123.19484853140082,43.40178919761601
16054,-79.65849775676195,41.1566674070496
39305,-88.7254510795125,32.46248978835533
39153,-89.50207516470002,32.05076794682409
38863,-89.02603075876961,34.2165405071482
38703,-91.04801038172866,33.47088947181094
38858,-88.53789170978357,34.101511998843826
38611,-89.67109993769999,34.855700856872595
38848,-88.2779781291066,33.945003541923526
39747,-89.55462394512567,33.422537315293745
72396,-90.83571385191686,35.2291406903821
72651,-92.47530458027175,36.38726433611656
71647,-92.12177053511232,33.366473092066364
74365,-95.05334742716136,36.2920315389455
71467,-92.39219618818449,31.558017357219462
70040,-89.92265557979022,29.7573745764613
71032,-93.79447642376564,32.09386961285795
70113,-90.08508149554676,29.94489027088513
70443,-90.538981301477,30.62905678023207
