ZIP,TRACT,USPS_ZIP_PREF_CITY,USPS_ZIP_PREF_STATE,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO
00612,72013300700,ARECIBO,PR,0.032468352,0.190438247,0.171303075,0.050685947
00612,72013300800,ARECIBO,PR,0.068469529,0.043426295,0.046852123,0.065591398
00612,72054580200,ARECIBO,PR,0.001009379,0.000000000,0.000000000,0.000889878
00612,72013300102,ARECIBO,PR,0.037431131,0.002390438,0.010248902,0.033481646
00612,72013302000,ARECIBO,PR,0.007275939,0.005179283,0.010248902,0.007156099
00612,72013302100,ARECIBO,PR,0.005004837,0.001195219,0.005856515,0.004671858
00612,72013301700,ARECIBO,PR,0.027799975,0.005976096,0.000000000,0.025064887
00612,72013300500,ARECIBO,PR,0.220759558,0.319123506,0.260614934,0.230923248
00613,72013300500,ARECIBO,PR,0.698261725,0.750000000,0.500000000,0.701556301
00613,72013301200,ARECIBO,PR,0.301738275,0.250000000,0.500000000,0.298443699
00614,72013301200,ARECIBO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00616,72013300102,BAJADERO,PR,0.734878764,0.764705882,0.166666667,0.734110169
00616,72013300301,BAJADERO,PR,0.265121236,0.235294118,0.833333333,0.265889831
00617,72017590200,BARCELONETA,PR,0.201147855,0.180000000,0.231343284,0.200323102
00617,72017590100,BARCELONETA,PR,0.309829644,0.187692308,0.074626866,0.300399626
00617,72017590400,BARCELONETA,PR,0.114147764,0.244615385,0.276119403,0.123203809
00617,72091570700,BARCELONETA,PR,0.000637697,0.000000000,0.000000000,0.000595187
00617,72091570202,BARCELONETA,PR,0.000091100,0.000000000,0.000000000,0.000085027
00617,72017590300,BARCELONETA,PR,0.373872643,0.387692308,0.417910448,0.375138169
00617,72054580200,BARCELONETA,PR,0.000273299,0.000000000,0.000000000,0.000255080
00622,72023830606,BOQUERON,PR,0.346973865,0.571428571,0.571428571,0.348049281
00622,72023830605,BOQUERON,PR,0.212517194,0.000000000,0.000000000,0.211498973
00622,72023830607,BOQUERON,PR,0.004470426,0.142857143,0.428571429,0.005817933
00622,72023830502,BOQUERON,PR,0.436038514,0.285714286,0.000000000,0.434633812
00623,72023830504,CABO ROJO,PR,0.075960622,0.034594595,0.045226131,0.073329777
00623,72023830503,CABO ROJO,PR,0.098380438,0.046486486,0.050251256,0.094967099
00623,72023830202,CABO ROJO,PR,0.062305494,0.048648649,0.095477387,0.061947952
00623,72023830607,CABO ROJO,PR,0.035312798,0.009729730,0.010050251,0.033611951
00623,72023830201,CABO ROJO,PR,0.065036520,0.028108108,0.020100503,0.062481475
00623,72023830400,CABO ROJO,PR,0.239695141,0.518918919,0.487437186,0.257928745
00623,72023830102,CABO ROJO,PR,0.081486186,0.180540541,0.165829146,0.087912739
00623,72097082001,CABO ROJO,PR,0.001333757,0.001081081,0.000000000,0.001304167
00623,72023830300,CABO ROJO,PR,0.216640203,0.074594595,0.060301508,0.207006936
00623,72023830608,CABO ROJO,PR,0.000508098,0.000000000,0.000000000,0.000474243
00623,72023830605,CABO ROJO,PR,0.043315338,0.006486486,0.005025126,0.040844152
00623,72023830101,CABO ROJO,PR,0.031883138,0.019459459,0.010050251,0.030944336
00623,72023830606,CABO ROJO,PR,0.007875516,0.022702703,0.030150754,0.008951331
00623,72023830502,CABO ROJO,PR,0.040266751,0.008648649,0.020100503,0.038295098
00624,72059740300,PENUELAS,PR,0.000000000,0.020304569,0.000000000,0.001000876
00624,72111730200,PENUELAS,PR,0.082539683,0.000000000,0.000000000,0.078068310
00624,72113070502,PENUELAS,PR,0.001058201,0.000000000,0.000000000,0.001000876
00624,72111730800,PENUELAS,PR,0.282936508,0.167512690,0.000000000,0.275866383
00624,72111730100,PENUELAS,PR,0.089682540,0.002538071,0.000000000,0.084949331
00624,72111730400,PENUELAS,PR,0.451587302,0.753807107,0.948717949,0.468910297
00624,72111730300,PENUELAS,PR,0.092195767,0.055837563,0.051282051,0.090203928
00627,72027320401,CAMUY,PR,0.476299088,0.256955810,0.122137405,0.459634214
00627,72027320600,CAMUY,PR,0.002479175,0.000000000,0.000000000,0.002309255
00627,72027320200,CAMUY,PR,0.106307021,0.080196399,0.053435115,0.104193608
00627,72027320100,CAMUY,PR,0.250396668,0.626841244,0.824427481,0.278588583
00627,72027320300,CAMUY,PR,0.164518048,0.036006547,0.000000000,0.155274340
00631,72081958400,CASTANER,PR,0.000000000,0.000000000,1.000000000,1.000000000
00637,72121960800,SABANA GRANDE,PR,0.153737942,0.027272727,0.000000000,0.145357042
00637,72121960300,SABANA GRANDE,PR,0.065916399,0.018181818,0.062992126,0.063411422
00637,72121960400,SABANA GRANDE,PR,0.151125402,0.054545455,0.086614173,0.145357042
00637,72121960500,SABANA GRANDE,PR,0.251507235,0.687272727,0.629921260,0.278577477
00637,72121960700,SABANA GRANDE,PR,0.066720257,0.032727273,0.023622047,0.064446326
00637,72121960600,SABANA GRANDE,PR,0.310992765,0.180000000,0.196850394,0.302850692
00638,72107955100,CIALES,PR,0.000623053,0.009740260,0.000000000,0.001031688
00638,72107954901,CIALES,PR,0.321962617,0.188311688,0.017543860,0.313338246
00638,72039955600,CIALES,PR,0.056074766,0.025974026,0.000000000,0.054237288
00638,72039955800,CIALES,PR,0.489875389,0.136363636,0.228070175,0.471628592
00638,72039955700,CIALES,PR,0.131464174,0.639610390,0.754385965,0.159764186
